ID,Age,Gender,Marital,Ethnicity,Education,Occupation,WorkSector,ProfPosition,OrgTenure,WorkingHours,Income,BWAS_1,BWAS_2,BWAS_3,BWAS_4,BWAS_5,BWAS_6,BWAS_7,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,BBI_1,BBI_2,BBI_3,BBI_4,BBI_5,BBI_6,BBI_7,BBI_8,BBI_9
35,25,2,5,6,5,1,2,4,0,18,2,4,4,4,3,3,4,3,2,1,2,4,3,4,3,5,2,4,3,4,3,4,1,2,2,2,3,5,5,4,4,3,2,4,3,2
36,32,2,5,3,5,16,2,4,10,40,12,3,2,3,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,2,2,2,3,3,2,2,1,2
37,24,2,5,6,5,8,1,4,1,23,12,2,2,3,2,4,1,3,3,3,3,4,4,4,4,4,3,4,3,4,4,3,4,2,4,4,4,3,2,2,2,2,2,2,2,2
38,28,2,5,6,5,9,2,4,2,15,2,4,5,4,5,5,5,5,1,2,1,4,4,3,5,5,4,5,3,4,4,4,3,5,2,4,2,6,6,5,6,6,5,6,6,4
39,26,1,5,6,5,4,2,4,0,8,1,1,2,1,1,1,3,1,4,2,2,4,4,4,4,4,2,4,4,4,2,1,2,1,2,1,3,1,1,1,1,1,1,1,1,1
40,40,2,1,6,6,2,2,1,5,45,10,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,3,3,3,3,3,5,3,5,2,5,3,2,2,4,3,4
41,41,1,1,3,4,2,2,2,1,65,11,3,4,3,4,3,5,4,4,4,4,4,4,4,4,4,3,4,3,4,3,3,4,3,4,5,3,4,4,2,4,4,2,4,3,2
42,25,2,5,6,6,4,3,4,5,40,3,3,4,2,2,1,3,3,4,4,5,4,4,3,3,5,4,4,2,3,4,2,3,1,3,4,4,3,2,3,4,4,4,1,6,3
43,38,2,5,8,4,2,2,2,0,56,11,2,4,2,3,2,4,3,4,4,4,3,4,4,3,5,3,5,4,4,3,3,3,4,4,3,4,3,4,4,2,3,3,3,3,5
44,28,1,5,6,5,2,2,4,1,20,2,4,3,4,4,3,4,3,3,2,3,4,2,4,2,4,3,4,4,4,3,2,4,4,3,4,3,4,4,4,3,3,4,2,3,2
45,24,2,5,6,5,5,2,3,2,40,3,2,4,4,4,4,4,4,3,4,3,2,4,4,2,5,3,4,2,4,3,4,3,3,2,4,2,2,4,4,2,2,4,2,5,2
46,23,2,5,5,6,1,2,4,3,40,1,1,5,2,2,3,4,4,5,4,2,3,4,3,5,4,5,3,5,5,2,3,4,1,5,5,3,5,3,6,2,2,2,1,1,2
47,62,1,1,6,6,13,2,1,15,36,9,1,1,2,1,1,3,1,5,5,5,4,5,5,4,5,4,5,5,4,4,3,5,2,4,3,5,1,1,2,2,2,1,2,3,2
48,36,2,5,6,6,14,2,1,6,53,8,4,5,3,3,2,5,4,5,4,5,3,4,3,4,4,4,3,4,4,3,1,3,3,3,5,4,5,5,4,3,5,4,5,4,2
49,45,1,1,6,5,20,2,1,4,45,9,4,4,3,2,3,4,3,5,5,5,3,4,2,1,5,4,5,4,4,2,3,2,4,1,5,1,5,6,3,5,4,5,6,4,5
50,43,2,5,6,5,6,1,2,8,20,2,2,1,2,2,4,2,2,4,4,4,3,3,4,3,5,4,4,3,4,3,3,4,1,3,2,3,2,5,2,4,3,5,2,5,5
51,43,2,3,6,5,10,2,3,13,40,7,1,2,2,1,1,2,1,5,4,5,5,4,4,5,5,5,5,4,3,3,2,3,1,2,2,4,2,4,2,3,4,4,1,3,6
52,51,1,1,6,6,13,1,1,2,45,8,2,4,3,3,1,2,3,4,4,4,4,3,3,3,4,4,4,3,4,3,3,3,3,2,4,2,6,5,3,2,4,4,2,3,5
